Appendix.Fifty most dominant topics in the Dutch Song Database, by sum of weights (>= 0.1) and corresponding words;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Topic;Sum of weights;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight
0;0,2276846693;god;0,037714372; vader;0,018027882; geest;0,014461332; lof;0,011523535; leven;0,010114260; herten;0,008531535; onzen;0,007729332; woord;0,007458318; zonden;0,007414956; naam;0,007393275; loven;0,006591072; bidden;0,006255014; zijnen;0,005745507; recht;0,005322724; noot;0,0053118834; heilig;0,005225159; genade;0,004964985; brood;0,004867420; goedheid;0,004802376; hemel;0,004748173; rijk;0,004639768; prijs;0,004628927; bereid;0,004531362; geven;0,004422956; ziel;0,004368753; prijzen;0,004292869; allen;0,004206144; kracht;0,004195304; boven;0,0041627821; helpt;0,004032695
1;0,2307515355;maria;0,017712958; moeder;0,015021509; gods;0,014147363; lof;0,014032343; god;0,013963332; hemels;0,011524925; maagd;0,010627775; vreugd;0,009086517; klaar;0,008511421; rein;0,008442410; zingen;0,007637275; boven;0,006786133; schone;0,006648110; maghet;0,006625106; weest;0,0064870833; troon;0,006464080; maagden;0,006211037; bruidegom;0,006188033; hemel;0,005681949; zuiver;0,005060845; denkt;0,004945826; sijt;0,004922822; eeuwig;0,004715788; gegroet;0,004301718; loven;0,004278715; fijn;0,004255711; engelen;0,004232707; vreugden;0,004186699; geest;0,0040716800; haren;0,003979665
2;0,1892337172;lief;0,034060995; adieu;0,010243370; liefste;0,009007718; liefde;0,008989810; hert;0,007807883; troost;0,007395999; mocht;0,006894576; och;0,006858760; herte;0,006124532; minnen;0,005945452; zwaar;0,005766372; schone;0,005641016; mijnen;0,005479845; pijn;0,005318673; rein;0,0052470407; princesse;0,005247041; venus;0,005193317; alzo;0,005157501; lijden;0,004799341; edel;0,003903942; zoude;0,003778586; verdriet;0,003760678; weet;0,003617414; dijn;0,003581598; genezen;0,003527874; scheiden;0,003420426; sou;0,003348794; druk;0,003169714; klaar;0,0029906341; eerbaar;0,002954818
3;0,2393179188;kwam;0,029147835; zag;0,017990874; sprak;0,016964695; ging;0,013733325; riep;0,010982293; doe;0,010512871; liet;0,009715945; nam;0,009377525; gaf;0,009126438; stond;0,007532587; zei;0,007499836; scheen;0,006495491; waren;0,006211655; voort;0,006080653; wou;0,0055129801; wiert;0,005458396; lag;0,005447479; terstond;0,005261894; zeide;0,005250977; deed;0,005185476; toen;0,004934390; haast;0,004781555; kreeg;0,004726971; docht;0,004726971; man;0,004694221; viel;0,004541386; hand;0,004432218; vond;0,004399467; bleef;0,0043776337; straks;0,004213882
4;0,1949330481;god;0,032109183; oft;0,014935425; hert;0,009923936; vreugd;0,008101577; gods;0,007943111; leven;0,007685603; heel;0,007348863; mijnen;0,006675382; haren;0,006655574; liefde;0,006596149; alleen;0,005922669; hun;0,005803819; boven;0,005704778; enen;0,005427462; hadd;0,0053680374; licht;0,005348229; allen;0,004971872; troost;0,004932256; klaar;0,004179542; stond;0,004139926; tis;0,003882418; zien;0,003822993; vier;0,003684336; siel;0,003624911; ghemoet;0,003545678; verheugt;0,003426828; ziele;0,003387212; kost;0,003347595; rust;0,0032287457; ah;0,003208937
5;0,2323311207;kind;0,032653260; geboren;0,022940258; god;0,018230184; stal;0,012104647; kindeken;0,011445724; moeder;0,009932643; mens;0,009395744; nieuwe;0,008761226; bethlehem;0,007248145; maria;0,006711246; zoete;0,006076728; lof;0,005979110; klein;0,005808278; iaer;0,005466615; leit;0,0050029285; nacht;0,004905310; beesten;0,004880906; maagd;0,004758883; sterre;0,004758883; herodes;0,004612456; herders;0,004539242; mensen;0,004344006; jaar;0,004197579; koning;0,004099961; engel;0,004075556; licht;0,003953534; maghet;0,003880320; waren;0,003880320; wereld;0,0038559157; groten;0,003831511
6;0,2643799472;dijn;0,057235640; dij;0,030911305; god;0,027988634; du;0,013639131; hun;0,013131723; wt;0,010412015; mit;0,009052162; fijn;0,006535417; dijnen;0,006474528; recht;0,006271565; dijne;0,006007713; mijnen;0,005500304; allen;0,005337934; zijnen;0,004789933; zullen;0,0047290440; dies;0,004424599; hert;0,004363710; vijanden;0,004201340; dynen;0,004201340; hand;0,004018673; enen;0,003795413; volk;0,003714228; herten;0,003653339; dijns;0,003633042; daarom;0,003511264; ziel;0,003430079; ouer;0,003389487; sik;0,003348894; oft;0,0033488939; werden;0,003328598
7;0,1319042184;god;0,009916234; volk;0,009690131; bloed;0,008634984; hand;0,006826159; vijand;0,006449321; tegen;0,006438554; land;0,005749478; geweld;0,005598742; straf;0,005135770; kwaad;0,004715864; hoofd;0,004349792; af;0,003768384; hulp;0,003628416; boze;0,003628416; macht;0,0035099808; haat;0,003434613; gods;0,003434613; handen;0,003370012; wraak;0,003143909; val;0,002960873; plagen;0,002950107; zich;0,002928573; list;0,002831672; onder;0,002767071; vier;0,002745537; kracht;0,002702470; boos;0,002691703; fel;0,002691703; eigen;0,0026378690; strijden;0,002573268
8;0,1795573028;god;0,025268496; hen;0,013446144; zullen;0,008631741; allen;0,008460815; wt;0,008289890; doer;0,007891063; gants;0,007492237; dies;0,006210295; geprezen;0,005953907; werden;0,005612056; haast;0,005156254; ouer;0,005156254; gods;0,004842891; kracht;0,004785916; klaar;0,0047289405; noot;0,004501040; sijt;0,004273139; vergaan;0,004216164; volk;0,004073726; zijnen;0,004045238; boze;0,003931288; herten;0,003817338; voorwaar;0,003788850; kwaad;0,003760362; krachtig;0,003760362; vianden;0,003674900; leun;0,003617924; vast;0,003560949; vromen;0,0033045609; eenpaar;0,003304561
9;0,1739276495;god;0,016266487; wt;0,013411012; leun;0,013269564; gods;0,013066233; nv;0,012350154; woord;0,008389618; christus;0,008133244; genen;0,005454578; si;0,005100958; wereld;0,004791541; zonden;0,004711977; geest;0,004667775; bouen;0,004544008; ouer;0,004473284; oft;0,0043937197; eewich;0,004269953; uan;0,003907493; verheuen;0,003792567; christum;0,003571555; enen;0,003536193; lijden;0,003518512; allen;0,003447788; coemt;0,003394745; sij;0,003306340; blijuen;0,003156052; mensen;0,003094169; compt;0,003014604; zijnen;0,003005764; zullen;0,0029704021; inder;0,002917359
