	topic	words
0	0	[('god', 0.03771437243891334), ('vader', 0.0180278819677818), ('geest', 0.0144613316566572), ('lof', 0.011523534895822042), ('leven', 0.010114259696897426), ('herten', 0.008531535242720552), ('onzen', 0.007729332437178848), ('woord', 0.007458317975847191), ('zonden', 0.007414955662034126), ('naam', 0.007393274505127593), ('loven', 0.00659107169958589), ('bidden', 0.006255013767534636), ('zijnen', 0.005745506580231121), ('recht', 0.005322724020553737), ('noot', 0.005311883442100471), ('heilig', 0.00522515881447434), ('genade', 0.00496498493159595), ('brood', 0.0048674197255165535), ('goedheid', 0.004802376254796956), ('hemel', 0.004748173362530625), ('rijk', 0.004639767577997962), ('prijs', 0.0046289269995446955), ('bereid', 0.004531361793465299), ('geven', 0.004422956008932636), ('ziel', 0.0043687531166663055), ('prijzen', 0.004292869067493442), ('allen', 0.004206144439867311), ('kracht', 0.004195303861414045), ('boven', 0.004162782126054246), ('helpt', 0.004032695184615051)]
1	1	[('maria', 0.017712958063996687), ('moeder', 0.015021508591934853), ('gods', 0.014147362609555797), ('lof', 0.014032343401348025), ('god', 0.013963331876423363), ('hemels', 0.011524924662418624), ('maagd', 0.010627774838398012), ('vreugd', 0.009086517448413885), ('klaar', 0.008511421407375031), ('rein', 0.00844240988245037), ('zingen', 0.007637275424995974), ('boven', 0.0067861332842584715), ('schone', 0.006648110234409146), ('maghet', 0.006625106392767592), ('weest', 0.006487083342918267), ('troon', 0.006464079501276713), ('maagden', 0.006211037243219618), ('bruidegom', 0.006188033401578063), ('hemel', 0.005681948885463872), ('zuiver', 0.005060845161141911), ('denkt', 0.00494582595293414), ('sijt', 0.004922822111292586), ('eeuwig', 0.004715787536518599), ('gegroet', 0.004301718386970624), ('loven', 0.0042787145453290695), ('fijn', 0.004255710703687516), ('engelen', 0.004232706862045962), ('vreugden', 0.004186699178762854), ('geest', 0.004071679970555082), ('haren', 0.003979664603988866)]
2	2	[('lief', 0.03406099460969538), ('adieu', 0.010243369567163912), ('liefste', 0.00900771834315288), ('liefde', 0.008989810354399098), ('hert', 0.007807883096649415), ('troost', 0.007395999355312405), ('mocht', 0.006894575670206479), ('och', 0.006858759692698913), ('herte', 0.006124532153793808), ('minnen', 0.005945452266255977), ('zwaar', 0.005766372378718146), ('schone', 0.005641016457441665), ('mijnen', 0.005479844558657617), ('pijn', 0.00531867265987357), ('rein', 0.005247040704858437), ('princesse', 0.005247040704858437), ('venus', 0.005193316738597088), ('alzo', 0.005157500761089522), ('lijden', 0.004799340986013861), ('edel', 0.0039039415483247074), ('zoude', 0.0037785856270482264), ('verdriet', 0.003760677638294443), ('weet', 0.0036174137282641784), ('dijn', 0.0035815977507566124), ('genezen', 0.0035278737844952634), ('scheiden', 0.003420425851972565), ('sou', 0.003348793896957433), ('druk', 0.003169714009419602), ('klaar', 0.0029906341218817714), ('eerbaar', 0.0029548181443742054)]
3	3	[('kwam', 0.0291478352001048), ('zag', 0.017990873561712625), ('sprak', 0.016964695093993582), ('ging', 0.013733324599899566), ('riep', 0.01098229296303574), ('doe', 0.010512870898015328), ('liet', 0.009715945066701601), ('nam', 0.009377524508198511), ('gaf', 0.009126438287373638), ('stond', 0.0075325866247461844), ('zei', 0.007499836248116854), ('scheen', 0.006495491364817362), ('waren', 0.006211654767363158), ('voort', 0.006080653260845833), ('wou', 0.005512980065937425), ('wiert', 0.00545839610488854), ('lag', 0.005447479312678762), ('terstond', 0.005261893845112552), ('zeide', 0.0052509770529027755), ('deed', 0.005185476299644113), ('toen', 0.00493439007881924), ('haast', 0.0047815549878823605), ('kreeg', 0.0047269710268334755), ('docht', 0.0047269710268334755), ('man', 0.004694220650204144), ('viel', 0.004541385559267265), ('hand', 0.004432217637169494), ('vond', 0.004399467260540163), ('bleef', 0.004377633676120609), ('straks', 0.004213881792973952)]
4	4	"[('god', 0.032109183107519215), ('oft', 0.0149354250851755), ('hert', 0.009923936296648443), ('vreugd', 0.008101576737184058), ('gods', 0.00794311068853498), ('leven', 0.007685603359480231), ('heel', 0.007348863006100943), ('mijnen', 0.006675382299342366), ('haren', 0.0066555740432612314), ('liefde', 0.006596149275017827), ('alleen', 0.00592266856825925), ('hun', 0.005803819031772443), ('boven', 0.0057047777513667694), ('enen', 0.005427462166230885), ('hadd', 0.0053680373979874815), ('licht', 0.005348229141906346), ('allen', 0.004971872276364789), ('troost', 0.00493225576420252), ('klaar', 0.004179542033119404), ('stond', 0.004139925520957135), (""t'is"", 0.003882418191902385), ('zien', 0.003822993423658981), ('vier', 0.0036843356310910388), ('siel', 0.0036249108628476348), ('ghemoet', 0.0035456778385230966), ('verheugt', 0.0034268283020362886), ('ziele', 0.0033872117898740197), ('kost', 0.0033475952777117504), ('rust', 0.0032287457412249424), ('ah', 0.0032089374851438078)]"
5	5	[('kind', 0.03265326044513862), ('geboren', 0.022940257711831315), ('god', 0.018230183522061693), ('stal', 0.01210464662241312), ('kindeken', 0.011445724326434986), ('moeder', 0.009932643498633346), ('mens', 0.00939574385005857), ('nieuwe', 0.008761226083561108), ('bethlehem', 0.007248145255759469), ('maria', 0.006711245607184693), ('zoete', 0.006076727840687231), ('lof', 0.005979109722764545), ('klein', 0.005808278016399844), ('iaer', 0.005466614603670442), ('leit', 0.00500292854353768), ('nacht', 0.004905310425614994), ('beesten', 0.004880905896134323), ('maagd', 0.004758883248730965), ('sterre', 0.004758883248730965), ('herodes', 0.004612456071846935), ('herders', 0.00453924248340492), ('mensen', 0.004344006247559547), ('jaar', 0.004197579070675517), ('koning', 0.004099960952752831), ('engel', 0.00407555642327216), ('licht', 0.003953533775868801), ('maghet', 0.0038803201874267864), ('waren', 0.0038803201874267864), ('wereld', 0.003855915657946115), ('groten', 0.0038315111284654433)]
6	6	[('dijn', 0.05723564034909681), ('dij', 0.030911305053785264), ('god', 0.02798863405723564), ('du', 0.013639131317231582), ('hun', 0.013131723158108382), ('wt', 0.010412015425208037), ('mit', 0.009052161558757864), ('fijn', 0.0065354170895067995), ('dijnen', 0.006474528110412016), ('recht', 0.006271564846762736), ('dijne', 0.006007712604018673), ('mijnen', 0.005500304444895474), ('allen', 0.00533793383397605), ('zijnen', 0.004789933022122996), ('zullen', 0.004729044043028212), ('dies', 0.004424599147554293), ('hert', 0.004363710168459509), ('vijanden', 0.004201339557540085), ('dynen', 0.004201339557540085), ('hand', 0.004018672620255734), ('enen', 0.0037954130302415264), ('volk', 0.0037142277247818145), ('herten', 0.0036533387456870307), ('dijns', 0.0036330424193221026), ('daarom', 0.003511264461132535), ('ziel', 0.003430079155672823), ('ouer', 0.0033894865029429674), ('sik', 0.0033488938502131116), ('oft', 0.0033488938502131116), ('werden', 0.0033285975238481836)]
7	7	[('god', 0.009916234199702835), ('volk', 0.009690131139774759), ('bloed', 0.008634983526777062), ('hand', 0.006826159047352441), ('vijand', 0.006449320614138978), ('tegen', 0.00643855380176145), ('land', 0.00574947780959969), ('geweld', 0.005598742436314304), ('straf', 0.005135769504080622), ('kwaad', 0.004715863821357049), ('hoofd', 0.0043497922005211135), ('af', 0.003768384332134628), ('hulp', 0.0036284157712267707), ('boze', 0.0036284157712267707), ('macht', 0.003509980835073968), ('haat', 0.0034346131484312755), ('gods', 0.0034346131484312755), ('handen', 0.0033700122741661103), ('wraak', 0.0031439092142380325), ('val', 0.002960873403820065), ('plagen', 0.0029501065914425374), ('zich', 0.0029285729666874826), ('list', 0.002831671655289735), ('onder', 0.00276707078102457), ('vier', 0.002745537156269515), ('kracht', 0.002702469906759405), ('boos', 0.0026917030943818775), ('fel', 0.0026917030943818775), ('eigen', 0.0026378690324942397), ('strijden', 0.002573268158229075)]
8	8	[('god', 0.025268495570179187), ('hen', 0.013446144204199071), ('zullen', 0.008631740876848133), ('allen', 0.008460815314930347), ('wt', 0.008289889753012564), ('doer', 0.007891063441871064), ('gants', 0.0074922371307295675), ('dies', 0.006210295416346181), ('geprezen', 0.005953907073469504), ('werden', 0.005612055949633934), ('haast', 0.005156254451186508), ('ouer', 0.005156254451186508), ('gods', 0.004842890921003903), ('kracht', 0.004785915733697975), ('klaar', 0.004728940546392046), ('noot', 0.004501039797168333), ('sijt', 0.00427313904794462), ('vergaan', 0.004216163860638692), ('volk', 0.004073725892373871), ('zijnen', 0.004045238298720907), ('boze', 0.003931287924109051), ('herten', 0.003817337549497194), ('voorwaar', 0.0037888499558442297), ('kwaad', 0.003760362362191266), ('krachtig', 0.003760362362191266), ('vianden', 0.003674899581232373), ('leun', 0.003617924393926445), ('vast', 0.0035609492066205166), ('vromen', 0.0033045608637438397), ('eenpaar', 0.0033045608637438397)]
9	9	[('god', 0.016266487499557974), ('wt', 0.013411011704798614), ('leun', 0.013269563987411153), ('gods', 0.013066232893666678), ('nv', 0.01235015382439266), ('woord', 0.00838961773754376), ('christus', 0.008133243749778987), ('genen', 0.005454577601753952), ('si', 0.0051009583082853), ('wereld', 0.00479154142650023), ('zonden', 0.004711977085469783), ('geest', 0.004667774673786202), ('bouen', 0.0045440079210721735), ('ouer', 0.004473284062378444), ('oft', 0.004393719721347997), ('eewich', 0.004269952968633969), ('uan', 0.003907493192828601), ('verheuen', 0.003792566922451289), ('christum', 0.0035715548640333815), ('enen', 0.0035361929346865166), ('lijden', 0.003518511970013084), ('allen', 0.0034477881113193537), ('coemt', 0.0033947452172990557), ('sij', 0.003306340393931893), ('blijuen', 0.003156052194207716), ('mensen', 0.003094168817850702), ('compt', 0.0030146044768202553), ('zijnen', 0.003005763994483539), ('zullen', 0.002970402065136674), ('inder', 0.0029173591711163763)]
